,t,c,c1,c2,c3,o,o1,o2,o3,h,l,mean,std,upper,lower,sma_5,sma_15,diff,rule_1,rule_2,rule_3,rule_4,golden,dead
0,2019-04-08 09:10:00,111.63799999999999,111.678,111.715,111.715,111.675,111.713,111.71799999999999,111.696,111.698,111.634,111.69534999999999,0.021448285417918874,111.73824657083583,111.65245342916415,111.69,111.69,0.0,1,-1,1,0,0,0
1,2019-04-08 09:20:00,111.652,111.63799999999999,111.678,111.715,111.63600000000001,111.675,111.713,111.71799999999999,111.65799999999999,111.618,111.69109999999998,0.021180676396937503,111.73346135279385,111.6487386472061,111.68,111.68,0.0,1,-1,1,-1,0,0
2,2019-04-08 09:30:00,111.626,111.652,111.63799999999999,111.678,111.649,111.63600000000001,111.675,111.713,111.654,111.62200000000001,111.6864,0.024585832462923857,111.73557166492586,111.63722833507416,111.66,111.68,-0.020000000000010232,1,-1,1,-1,0,1
3,2019-04-08 09:40:00,111.55,111.626,111.652,111.63799999999999,111.624,111.649,111.63600000000001,111.675,111.654,111.538,111.67810000000001,0.03827586844558266,111.75465173689118,111.60154826310885,111.63,111.67,-0.04000000000000625,1,-1,1,-1,0,0
4,2019-04-08 09:50:00,111.50399999999999,111.55,111.626,111.652,111.552,111.624,111.649,111.63600000000001,111.55799999999999,111.404,111.66780000000001,0.05380628020476842,111.77541256040955,111.56018743959048,111.59,111.66,-0.06999999999999318,1,-1,1,0,0,0
5,2019-04-08 10:00:00,111.52600000000001,111.50399999999999,111.55,111.626,111.507,111.552,111.624,111.649,111.53,111.47200000000001,111.6586,0.06140495436894712,111.7814099087379,111.53579009126211,111.57,111.65,-0.0800000000000125,1,-1,1,-1,0,0
6,2019-04-08 10:10:00,111.485,111.52600000000001,111.50399999999999,111.55,111.524,111.507,111.552,111.624,111.524,111.47,111.64805000000001,0.0718745068632954,111.7917990137266,111.50430098627342,111.54,111.63,-0.0899999999999892,1,-1,1,-1,0,0
7,2019-04-08 10:20:00,111.477,111.485,111.52600000000001,111.50399999999999,111.488,111.524,111.507,111.552,111.49799999999999,111.47,111.63745000000002,0.08061831775654119,111.79868663551309,111.47621336448694,111.51,111.62,-0.10999999999999943,1,-1,1,-1,0,0
8,2019-04-08 10:30:00,111.48899999999999,111.477,111.485,111.52600000000001,111.48,111.488,111.524,111.507,111.50200000000001,111.478,111.62700000000002,0.08573950756737028,111.79847901513476,111.45552098486529,111.5,111.61,-0.10999999999999943,1,-1,1,-1,0,0
9,2019-04-08 10:40:00,111.505,111.48899999999999,111.477,111.485,111.492,111.48,111.488,111.524,111.51,111.48700000000001,111.61765000000003,0.08843211788532723,111.79451423577068,111.44078576422937,111.5,111.6,-0.09999999999999432,1,-1,1,-1,0,0
10,2019-04-08 10:50:00,111.50399999999999,111.505,111.48899999999999,111.477,111.507,111.492,111.48,111.488,111.51,111.5,111.60855000000001,0.09037144111068143,111.78929288222137,111.42780711777864,111.49,111.58,-0.09000000000000341,1,-1,1,-1,0,0
11,2019-04-08 11:00:00,111.46600000000001,111.50399999999999,111.505,111.48899999999999,111.50200000000001,111.507,111.492,111.48,111.50399999999999,111.464,111.59755,0.09377322870122971,111.78509645740246,111.41000354259754,111.49,111.57,-0.0799999999999983,1,-1,1,-1,0,0
12,2019-04-08 11:10:00,111.456,111.46600000000001,111.50399999999999,111.505,111.46799999999999,111.50200000000001,111.507,111.492,111.48,111.448,111.5864,0.09678810279215821,111.77997620558432,111.39282379441568,111.48,111.55,-0.06999999999999318,1,-1,1,0,0,0
13,2019-04-08 11:20:00,111.432,111.456,111.46600000000001,111.50399999999999,111.454,111.46799999999999,111.50200000000001,111.507,111.458,111.42,111.57379999999998,0.09977057893513876,111.77334115787025,111.3742588421297,111.47,111.53,-0.060000000000002274,1,-1,1,0,0,0
14,2019-04-08 11:30:00,111.376,111.432,111.456,111.46600000000001,111.435,111.454,111.46799999999999,111.50200000000001,111.435,111.348,111.55829999999999,0.10534659587835793,111.7689931917567,111.34760680824327,111.45,111.51,-0.060000000000002274,1,-1,1,0,0,0
