index,time,close,open,high,low,volume
0,2019-04-08 06:00:00,111.737,111.715,111.737,111.668,38
1,2019-04-08 06:10:00,111.72,111.741,111.76,111.676,107
2,2019-04-08 06:20:00,111.716,111.724,111.739,111.712,10
3,2019-04-08 06:30:00,111.71,111.722,111.722,111.71,4
4,2019-04-08 06:40:00,111.71,111.706,111.71,111.706,2
5,2019-04-08 06:50:00,111.696,111.705,111.716,111.688,24
6,2019-04-08 07:00:00,111.689,111.699,111.7,111.682,153
7,2019-04-08 07:10:00,111.698,111.692,111.702,111.69,25
8,2019-04-08 07:20:00,111.692,111.7,111.702,111.692,28
9,2019-04-08 07:30:00,111.686,111.69,111.692,111.686,9
10,2019-04-08 07:40:00,111.686,111.683,111.688,111.68,6
11,2019-04-08 07:50:00,111.679,111.688,111.698,111.679,29
12,2019-04-08 08:00:00,111.684,111.682,111.691,111.677,34
13,2019-04-08 08:10:00,111.686,111.686,111.688,111.672,27
14,2019-04-08 08:20:00,111.674,111.684,111.691,111.674,25
15,2019-04-08 08:30:00,111.698,111.676,111.698,111.674,38
16,2019-04-08 08:40:00,111.715,111.696,111.731,111.696,78
17,2019-04-08 08:50:00,111.715,111.718,111.72,111.708,38
18,2019-04-08 09:00:00,111.678,111.713,111.713,111.659,192
19,2019-04-08 09:10:00,111.638,111.675,111.698,111.634,109
20,2019-04-08 09:20:00,111.652,111.636,111.658,111.618,87
21,2019-04-08 09:30:00,111.626,111.649,111.654,111.622,71
22,2019-04-08 09:40:00,111.55,111.624,111.654,111.538,191
23,2019-04-08 09:50:00,111.504,111.552,111.558,111.404,395
24,2019-04-08 10:00:00,111.526,111.507,111.53,111.472,133
25,2019-04-08 10:10:00,111.485,111.524,111.524,111.47,119
26,2019-04-08 10:20:00,111.477,111.488,111.498,111.47,57
27,2019-04-08 10:30:00,111.489,111.48,111.502,111.478,79
28,2019-04-08 10:40:00,111.505,111.492,111.51,111.487,81
29,2019-04-08 10:50:00,111.504,111.507,111.51,111.5,34
30,2019-04-08 11:00:00,111.466,111.502,111.504,111.464,44
31,2019-04-08 11:10:00,111.456,111.468,111.48,111.448,68
32,2019-04-08 11:20:00,111.432,111.454,111.458,111.42,55
33,2019-04-08 11:30:00,111.376,111.435,111.435,111.348,118
34,2019-04-08 11:40:00,111.392,111.379,111.416,111.377,54
35,2019-04-08 11:50:00,111.394,111.395,111.408,111.373,64
36,2019-04-08 12:00:00,111.398,111.392,111.408,111.385,63
37,2019-04-08 12:10:00,111.402,111.396,111.405,111.395,38
38,2019-04-08 12:20:00,111.381,111.4,111.4,111.372,49
39,2019-04-08 12:30:00,111.372,111.384,111.393,111.346,73
40,2019-04-08 12:40:00,111.393,111.369,111.393,111.366,77
41,2019-04-08 12:50:00,111.405,111.391,111.408,111.377,67
42,2019-04-08 13:00:00,111.366,111.402,111.404,111.364,41
43,2019-04-08 13:10:00,111.368,111.369,111.386,111.368,31
44,2019-04-08 13:20:00,111.364,111.37,111.372,111.35,80
45,2019-04-08 13:30:00,111.368,111.366,111.372,111.356,24
46,2019-04-08 13:40:00,111.381,111.366,111.382,111.353,33
47,2019-04-08 13:50:00,111.397,111.378,111.4,111.378,28
48,2019-04-08 14:00:00,111.38,111.394,111.394,111.373,23
49,2019-04-08 14:10:00,111.378,111.378,111.39,111.377,19
50,2019-04-08 14:20:00,111.377,111.381,111.384,111.366,30
51,2019-04-08 14:30:00,111.38,111.375,111.39,111.37,48
52,2019-04-08 14:40:00,111.396,111.382,111.402,111.373,40
53,2019-04-08 14:50:00,111.424,111.398,111.428,111.396,48
