index,time,close,open,high,low,volume
0,2019-04-08 22:44:45,111.328,111.328,111.328,111.328,1
1,2019-04-08 22:44:50,111.33,111.33,111.33,111.33,1
2,2019-04-08 22:44:55,111.325,111.327,111.327,111.325,2
3,2019-04-08 22:45:05,111.324,111.327,111.327,111.324,2
4,2019-04-08 22:45:15,111.32,111.322,111.322,111.32,2
5,2019-04-08 22:45:25,111.32,111.322,111.324,111.32,4
6,2019-04-08 22:45:45,111.317,111.318,111.318,111.314,3
7,2019-04-08 22:45:50,111.315,111.315,111.315,111.315,1
8,2019-04-08 22:45:55,111.32,111.317,111.32,111.317,2
9,2019-04-08 22:46:05,111.318,111.318,111.318,111.318,1
10,2019-04-08 22:46:35,111.322,111.32,111.322,111.32,2
11,2019-04-08 22:46:55,111.325,111.325,111.325,111.325,1
12,2019-04-08 22:47:30,111.323,111.323,111.323,111.323,1
13,2019-04-08 22:47:35,111.325,111.325,111.325,111.325,1
14,2019-04-08 22:47:40,111.323,111.323,111.323,111.323,1
15,2019-04-08 22:47:45,111.32,111.32,111.32,111.32,1
16,2019-04-08 22:47:50,111.322,111.322,111.322,111.322,1
17,2019-04-08 22:48:00,111.32,111.32,111.32,111.32,1
18,2019-04-08 22:48:05,111.318,111.318,111.318,111.318,1
19,2019-04-08 22:48:10,111.32,111.32,111.32,111.32,1
20,2019-04-08 22:48:15,111.317,111.317,111.317,111.317,1
21,2019-04-08 22:49:10,111.32,111.32,111.32,111.32,1
22,2019-04-08 22:49:30,111.318,111.318,111.318,111.318,1
23,2019-04-08 22:49:35,111.309,111.315,111.315,111.309,3
24,2019-04-08 22:49:40,111.312,111.312,111.312,111.312,1
25,2019-04-08 22:50:55,111.309,111.309,111.309,111.309,1
26,2019-04-08 22:51:00,111.309,111.311,111.311,111.309,2
27,2019-04-08 22:51:05,111.316,111.311,111.316,111.311,3
28,2019-04-08 22:52:05,111.314,111.314,111.314,111.314,1
29,2019-04-08 22:52:15,111.316,111.316,111.316,111.314,3
30,2019-04-08 22:52:25,111.314,111.314,111.314,111.314,1
31,2019-04-08 22:52:30,111.316,111.316,111.316,111.316,1
32,2019-04-08 22:53:10,111.314,111.314,111.314,111.309,5
33,2019-04-08 22:53:15,111.316,111.316,111.316,111.316,1
34,2019-04-08 22:53:45,111.309,111.314,111.314,111.309,3
35,2019-04-08 22:54:00,111.303,111.306,111.306,111.303,2
36,2019-04-08 22:54:10,111.294,111.3,111.3,111.294,8
37,2019-04-08 22:54:15,111.291,111.291,111.291,111.291,1
38,2019-04-08 22:54:20,111.293,111.293,111.293,111.293,1
39,2019-04-08 22:54:30,111.286,111.29,111.29,111.284,5
40,2019-04-08 22:54:35,111.288,111.288,111.288,111.288,1
41,2019-04-08 22:54:45,111.291,111.286,111.291,111.286,3
42,2019-04-08 22:55:00,111.291,111.293,111.293,111.291,2
43,2019-04-08 22:55:05,111.286,111.288,111.288,111.286,2
44,2019-04-08 22:55:10,111.29,111.288,111.29,111.288,2
45,2019-04-08 22:55:45,111.3,111.293,111.303,111.293,6
46,2019-04-08 22:55:50,111.302,111.302,111.302,111.302,1
47,2019-04-08 22:55:55,111.302,111.306,111.306,111.302,2
48,2019-04-08 22:56:00,111.298,111.3,111.3,111.298,2
49,2019-04-08 22:56:10,111.296,111.294,111.296,111.294,2
50,2019-04-08 22:56:20,111.3,111.3,111.3,111.3,1
51,2019-04-08 22:56:25,111.297,111.302,111.302,111.297,3
52,2019-04-08 22:56:35,111.3,111.299,111.302,111.299,3
53,2019-04-08 22:56:45,111.304,111.302,111.304,111.302,2
54,2019-04-08 22:56:50,111.304,111.307,111.307,111.304,2
55,2019-04-08 22:56:55,111.304,111.307,111.307,111.304,2
56,2019-04-08 22:57:10,111.306,111.306,111.306,111.306,1
57,2019-04-08 22:57:20,111.304,111.304,111.304,111.304,1
58,2019-04-08 22:57:35,111.31,111.307,111.31,111.307,2
59,2019-04-08 22:57:55,111.304,111.307,111.307,111.304,2
60,2019-04-08 22:58:10,111.306,111.302,111.308,111.302,4
61,2019-04-08 22:58:15,111.303,111.303,111.303,111.303,1
62,2019-04-08 22:58:30,111.306,111.306,111.306,111.306,1
63,2019-04-08 22:58:35,111.306,111.303,111.306,111.303,2
64,2019-04-08 22:58:40,111.308,111.308,111.308,111.308,1
65,2019-04-08 22:58:45,111.308,111.31,111.31,111.308,2
66,2019-04-08 22:58:50,111.308,111.31,111.31,111.308,2
67,2019-04-08 22:58:55,111.306,111.306,111.306,111.306,1
68,2019-04-08 22:59:05,111.308,111.308,111.308,111.308,1
69,2019-04-08 22:59:10,111.306,111.306,111.306,111.306,1
70,2019-04-08 22:59:15,111.305,111.303,111.305,111.303,2
71,2019-04-08 22:59:20,111.302,111.302,111.302,111.302,1
72,2019-04-08 22:59:40,111.308,111.305,111.308,111.305,2
73,2019-04-08 22:59:45,111.306,111.305,111.306,111.298,7
74,2019-04-08 22:59:50,111.31,111.302,111.31,111.302,4
75,2019-04-08 22:59:55,111.312,111.312,111.314,111.312,5
76,2019-04-08 23:00:00,111.324,111.314,111.324,111.312,11
77,2019-04-08 23:00:05,111.329,111.327,111.329,111.327,2
78,2019-04-08 23:00:10,111.332,111.332,111.332,111.332,1
79,2019-04-08 23:00:15,111.334,111.334,111.336,111.334,3
80,2019-04-08 23:00:20,111.327,111.332,111.332,111.327,3
81,2019-04-08 23:00:25,111.332,111.33,111.332,111.33,2
82,2019-04-08 23:00:30,111.332,111.33,111.332,111.33,2
83,2019-04-08 23:00:35,111.339,111.334,111.339,111.334,3
84,2019-04-08 23:00:40,111.332,111.336,111.336,111.332,5
85,2019-04-08 23:00:45,111.332,111.33,111.332,111.33,2
86,2019-04-08 23:00:50,111.337,111.334,111.342,111.334,6
87,2019-04-08 23:00:55,111.336,111.339,111.342,111.336,4
88,2019-04-08 23:01:00,111.336,111.338,111.338,111.336,2
89,2019-04-08 23:01:05,111.338,111.338,111.338,111.334,5
90,2019-04-08 23:01:10,111.338,111.34,111.34,111.338,2
91,2019-04-08 23:01:15,111.335,111.336,111.336,111.331,5
92,2019-04-08 23:01:20,111.338,111.338,111.338,111.338,1
93,2019-04-08 23:01:35,111.333,111.335,111.335,111.333,2
94,2019-04-08 23:01:40,111.336,111.336,111.336,111.336,1
95,2019-04-08 23:01:45,111.344,111.339,111.344,111.339,3
96,2019-04-08 23:02:00,111.339,111.342,111.342,111.339,2
97,2019-04-08 23:02:10,111.339,111.342,111.342,111.339,2
98,2019-04-08 23:02:15,111.336,111.336,111.336,111.336,1
99,2019-04-08 23:02:25,111.336,111.34,111.34,111.336,2
100,2019-04-08 23:02:30,111.334,111.334,111.334,111.334,1
101,2019-04-08 23:02:40,111.336,111.336,111.336,111.336,1
102,2019-04-08 23:02:50,111.342,111.34,111.342,111.34,2
103,2019-04-08 23:02:55,111.352,111.344,111.352,111.344,4
104,2019-04-08 23:03:00,111.342,111.35,111.35,111.342,4
105,2019-04-08 23:03:05,111.344,111.344,111.344,111.344,1
106,2019-04-08 23:03:10,111.354,111.346,111.354,111.346,4
107,2019-04-08 23:03:25,111.353,111.351,111.353,111.351,2
108,2019-04-08 23:03:30,111.351,111.351,111.351,111.351,1
109,2019-04-08 23:03:35,111.351,111.353,111.353,111.351,2
110,2019-04-08 23:03:45,111.348,111.348,111.348,111.348,1
111,2019-04-08 23:03:50,111.344,111.346,111.346,111.344,2
112,2019-04-08 23:03:55,111.342,111.342,111.342,111.342,1
113,2019-04-08 23:04:00,111.348,111.344,111.348,111.344,3
114,2019-04-08 23:04:10,111.351,111.351,111.354,111.351,3
115,2019-04-08 23:04:15,111.354,111.354,111.354,111.354,1
116,2019-04-08 23:04:20,111.356,111.35,111.356,111.35,3
117,2019-04-08 23:04:25,111.35,111.354,111.354,111.35,2
118,2019-04-08 23:04:35,111.36,111.353,111.36,111.353,4
119,2019-04-08 23:04:40,111.356,111.358,111.358,111.356,2
120,2019-04-08 23:04:45,111.358,111.354,111.358,111.354,3
121,2019-04-08 23:04:50,111.356,111.356,111.356,111.356,1
122,2019-04-08 23:04:55,111.354,111.354,111.354,111.354,1
123,2019-04-08 23:05:00,111.356,111.356,111.356,111.356,1
124,2019-04-08 23:05:05,111.356,111.358,111.358,111.356,2
125,2019-04-08 23:05:20,111.348,111.353,111.353,111.348,3
126,2019-04-08 23:05:25,111.353,111.35,111.353,111.35,2
127,2019-04-08 23:05:40,111.361,111.356,111.361,111.356,3
128,2019-04-08 23:06:05,111.366,111.364,111.366,111.364,2
129,2019-04-08 23:06:10,111.372,111.369,111.372,111.369,2
130,2019-04-08 23:06:15,111.369,111.369,111.369,111.369,1
131,2019-04-08 23:06:20,111.37,111.367,111.37,111.367,2
132,2019-04-08 23:06:25,111.372,111.372,111.372,111.372,1
133,2019-04-08 23:06:30,111.367,111.37,111.37,111.367,2
134,2019-04-08 23:06:35,111.369,111.364,111.369,111.364,3
135,2019-04-08 23:06:40,111.372,111.372,111.372,111.372,1
136,2019-04-08 23:06:55,111.366,111.369,111.369,111.366,2
137,2019-04-08 23:07:05,111.362,111.364,111.364,111.362,2
138,2019-04-08 23:07:10,111.366,111.364,111.366,111.364,2
139,2019-04-08 23:07:15,111.366,111.364,111.366,111.364,2
140,2019-04-08 23:07:20,111.364,111.364,111.364,111.362,3
141,2019-04-08 23:07:25,111.366,111.366,111.366,111.366,1
142,2019-04-08 23:07:35,111.372,111.369,111.372,111.369,2
143,2019-04-08 23:07:40,111.378,111.374,111.378,111.374,3
144,2019-04-08 23:07:45,111.382,111.381,111.386,111.381,5
145,2019-04-08 23:07:55,111.382,111.38,111.382,111.38,2
146,2019-04-08 23:08:00,111.384,111.38,111.384,111.38,3
147,2019-04-08 23:08:05,111.382,111.382,111.382,111.382,1
148,2019-04-08 23:08:10,111.383,111.385,111.385,111.383,2
149,2019-04-08 23:08:15,111.376,111.38,111.38,111.376,3
150,2019-04-08 23:08:25,111.376,111.374,111.376,111.374,2
151,2019-04-08 23:08:30,111.378,111.378,111.378,111.378,1
152,2019-04-08 23:08:40,111.382,111.382,111.382,111.382,1
153,2019-04-08 23:08:50,111.376,111.378,111.378,111.376,2
154,2019-04-08 23:09:05,111.376,111.374,111.376,111.374,4
155,2019-04-08 23:09:20,111.379,111.379,111.379,111.379,1
156,2019-04-08 23:09:30,111.377,111.377,111.377,111.377,1
157,2019-04-08 23:10:05,111.371,111.374,111.374,111.371,2
158,2019-04-08 23:10:10,111.37,111.368,111.37,111.368,2
159,2019-04-08 23:10:15,111.368,111.368,111.368,111.368,1
160,2019-04-08 23:10:20,111.358,111.366,111.366,111.358,4
161,2019-04-08 23:10:40,111.361,111.361,111.361,111.361,1
162,2019-04-08 23:10:45,111.364,111.364,111.364,111.364,1
163,2019-04-08 23:10:55,111.361,111.361,111.364,111.361,3
164,2019-04-08 23:11:00,111.356,111.359,111.359,111.356,2
165,2019-04-08 23:11:05,111.354,111.354,111.354,111.354,1
166,2019-04-08 23:11:10,111.357,111.357,111.357,111.357,1
167,2019-04-08 23:11:30,111.352,111.355,111.355,111.352,2
168,2019-04-08 23:11:40,111.357,111.354,111.357,111.354,2
169,2019-04-08 23:11:45,111.352,111.355,111.355,111.352,2
170,2019-04-08 23:11:50,111.357,111.354,111.357,111.354,2
171,2019-04-08 23:11:55,111.357,111.354,111.357,111.354,2
172,2019-04-08 23:12:00,111.36,111.36,111.36,111.36,1
173,2019-04-08 23:12:05,111.352,111.356,111.356,111.352,3
174,2019-04-08 23:12:10,111.357,111.354,111.357,111.354,2
175,2019-04-08 23:12:15,111.352,111.354,111.354,111.352,2
176,2019-04-08 23:12:20,111.358,111.355,111.36,111.355,4
177,2019-04-08 23:12:25,111.359,111.361,111.361,111.359,2
178,2019-04-08 23:12:35,111.364,111.361,111.364,111.361,2
179,2019-04-08 23:12:40,111.366,111.366,111.366,111.366,1
180,2019-04-08 23:12:45,111.361,111.364,111.364,111.361,2
181,2019-04-08 23:12:50,111.363,111.363,111.363,111.363,1
182,2019-04-08 23:12:55,111.366,111.366,111.366,111.366,1
183,2019-04-08 23:13:30,111.363,111.363,111.363,111.363,1
184,2019-04-08 23:13:35,111.366,111.366,111.366,111.366,1
185,2019-04-08 23:13:40,111.363,111.363,111.363,111.363,1
186,2019-04-08 23:13:45,111.366,111.36,111.366,111.36,3
187,2019-04-08 23:13:50,111.363,111.363,111.363,111.363,1
188,2019-04-08 23:14:10,111.368,111.366,111.368,111.366,2
189,2019-04-08 23:14:20,111.366,111.366,111.366,111.366,1
190,2019-04-08 23:14:30,111.364,111.364,111.364,111.364,1
191,2019-04-08 23:14:40,111.361,111.361,111.361,111.361,1
192,2019-04-08 23:14:50,111.356,111.359,111.359,111.356,2
193,2019-04-08 23:14:55,111.354,111.354,111.354,111.354,1
194,2019-04-08 23:15:00,111.357,111.357,111.357,111.357,1
195,2019-04-08 23:15:15,111.362,111.359,111.362,111.359,2
196,2019-04-08 23:15:20,111.36,111.36,111.36,111.36,1
197,2019-04-08 23:16:10,111.354,111.357,111.357,111.354,2
198,2019-04-08 23:16:25,111.358,111.358,111.358,111.358,1
199,2019-04-08 23:16:30,111.36,111.36,111.36,111.36,1
200,2019-04-08 23:16:55,111.368,111.362,111.368,111.362,3
201,2019-04-08 23:17:10,111.37,111.37,111.37,111.37,1
202,2019-04-08 23:17:15,111.372,111.372,111.372,111.372,1
203,2019-04-08 23:17:20,111.378,111.376,111.378,111.376,2
204,2019-04-08 23:17:25,111.381,111.381,111.381,111.381,1
205,2019-04-08 23:17:30,111.392,111.384,111.392,111.384,4
206,2019-04-08 23:17:35,111.392,111.39,111.392,111.39,2
207,2019-04-08 23:17:40,111.392,111.394,111.397,111.392,4
208,2019-04-08 23:17:45,111.392,111.394,111.394,111.392,2
209,2019-04-08 23:17:50,111.394,111.394,111.396,111.394,3
210,2019-04-08 23:17:55,111.39,111.392,111.392,111.39,2
211,2019-04-08 23:18:00,111.387,111.387,111.387,111.387,1
212,2019-04-08 23:18:40,111.387,111.384,111.387,111.384,2
213,2019-04-08 23:18:50,111.392,111.39,111.392,111.39,2
214,2019-04-08 23:19:15,111.392,111.39,111.392,111.39,2
215,2019-04-08 23:19:20,111.402,111.394,111.402,111.394,4
216,2019-04-08 23:19:35,111.405,111.405,111.405,111.405,1
217,2019-04-08 23:19:40,111.402,111.402,111.402,111.402,1
218,2019-04-08 23:20:00,111.402,111.404,111.404,111.402,2
219,2019-04-08 23:20:05,111.404,111.404,111.404,111.404,1
220,2019-04-08 23:20:10,111.404,111.402,111.404,111.402,2
221,2019-04-08 23:20:15,111.406,111.406,111.406,111.406,1
222,2019-04-08 23:20:20,111.404,111.404,111.404,111.404,1
223,2019-04-08 23:20:25,111.404,111.406,111.409,111.404,4
224,2019-04-08 23:21:05,111.407,111.407,111.407,111.407,1
225,2019-04-08 23:21:15,111.402,111.404,111.404,111.402,2
226,2019-04-08 23:21:30,111.399,111.399,111.399,111.399,1
